"s_info_compname"	"s_info_windcode"	"s_info_name"	"id"
"润泰新材料股份有限公司"	"A21664.SZ"	"润泰股份"	"6798"
"山东沪鸽口腔材料股份有限公司"	"A21665.SZ"	"沪鸽口腔"	"6799"
"西安诺瓦星云科技股份有限公司"	"A21666.SZ"	"诺瓦星云"	"6800"
"长华化学科技股份有限公司"	"A22029.SZ"	"长华化学"	"6801"
"常州银河世纪微电子股份有限公司"	"688689.SH"	"银河微电"	"6802"
"优利德科技(中国)股份有限公司"	"688628.SH"	"优利德"	"6803"
"深圳市三旺通信股份有限公司"	"688618.SH"	"三旺通信"	"6804"
"上海皓元医药股份有限公司"	"688131.SH"	"皓元医药"	"6805"
"爱威科技股份有限公司"	"688067.SH"	"爱威科技"	"6806"
"浙江光华科技股份有限公司"	"A20132.SH"	"光华科技(IPO终止)"	"6807"
"桂林智神信息技术股份有限公司"	"A20135.SH"	"智神信息(IPO终止)"	"6808"
"上海派能能源科技股份有限公司"	"688063.SH"	"派能科技"	"6809"
"生益电子股份有限公司"	"688183.SH"	"生益电子"	"6810"
"科德数控股份有限公司"	"688305.SH"	"科德数控"	"6811"
"北京盛诺基医药科技股份有限公司"	"A20138.SH"	"盛诺基"	"6812"
"南京森根科技股份有限公司"	"A20140.SH"	"森根科技(IPO终止)"	"6813"
"长沙兴嘉生物工程股份有限公司"	"A20141.SH"	"兴嘉生物(IPO终止)"	"6814"
"国机重型装备集团股份有限公司"	"601399.SH"	"国机重装"	"6815"
"固克节能科技股份有限公司"	"A20580.SZ"	"固克节能"	"6816"
"宁波天益医疗器械股份有限公司"	"301097.SZ"	"天益医疗"	"6817"
"上海海和药物研究开发股份有限公司"	"A21008.SH"	"海和药物(IPO终止)"	"6818"
"重庆瑜欣平瑞电子股份有限公司"	"301107.SZ"	"瑜欣电子"	"6819"
"洋紫荆油墨股份有限公司"	"A21010.SZ"	"洋紫荆"	"6820"
"杭州凯尔达焊接机器人股份有限公司"	"688255.SH"	"凯尔达"	"6821"
"深圳市必易微电子股份有限公司"	"688045.SH"	"必易微"	"6822"
"捷邦精密科技股份有限公司"	"A21058.SZ"	"捷邦科技"	"6823"
"珠海科瑞思科技股份有限公司"	"A21059.SZ"	"科瑞思"	"6824"
"珠海高凌信息科技股份有限公司"	"688175.SH"	"高凌信息"	"6825"
"北京浩瀚深度信息技术股份有限公司"	"A21139.SH"	"浩瀚深度"	"6826"
"荣昌生物制药(烟台)股份有限公司"	"688331.SH"	"荣昌生物"	"6827"
"唯捷创芯(天津)电子技术股份有限公司"	"688153.SH"	"唯捷创芯-U"	"6828"
"滁州多利汽车科技股份有限公司"	"A21143.SZ"	"多利科技"	"6829"
"劲旅环境科技股份有限公司"	"A21144.SZ"	"劲旅环境"	"6830"
"江西阳光乳业股份有限公司"	"001318.SZ"	"阳光乳业"	"6831"
"广东鸿铭智能股份有限公司"	"A21198.SZ"	"鸿铭股份"	"6832"
"深圳垒石热管理技术股份有限公司"	"A21199.SZ"	"深圳垒石"	"6833"
"四川君逸数码科技股份有限公司"	"A21200.SZ"	"君逸数码"	"6834"
"常州市建筑科学研究院集团股份有限公司"	"A21201.SZ"	"建科股份"	"6835"
"太仓展新胶粘材料股份有限公司"	"A21202.SZ"	"展新股份"	"6836"
"上海文华财经资讯股份有限公司"	"A21203.SZ"	"文华财经(IPO终止)"	"6837"
"大连华阳新材料科技股份有限公司"	"A21204.SZ"	"华阳新材(IPO终止)"	"6838"
"华新绿源环保股份有限公司"	"A20600.SZ"	"华新环保"	"6839"
"浙江比依电器股份有限公司"	"603215.SH"	"比依股份"	"6840"
"中国电信股份有限公司"	"601728.SH"	"中国电信"	"6841"
"苏州朗威电子机械股份有限公司"	"A21453.SZ"	"朗威股份"	"6842"
"江苏伟康洁婧医疗器械股份有限公司"	"A21454.SZ"	"伟康医疗"	"6843"
"珠海市智迪科技股份有限公司"	"A21455.SZ"	"智迪科技"	"6844"
"安徽万邦医药科技股份有限公司"	"A21456.SZ"	"万邦医药"	"6845"
"哈尔滨国铁科技集团股份有限公司"	"A21661.SH"	"国铁科技"	"6846"
"河北晶禾电子技术股份有限公司"	"A21662.SH"	"晶禾电子"	"6847"
"南京磁谷科技股份有限公司"	"A21660.SH"	"磁谷科技"	"6848"
"威海邦德散热系统股份有限公司"	"838171.BJ"	"邦德股份"	"6849"
"浙江宏鑫科技股份有限公司"	"A22062.SZ"	"宏鑫科技"	"6850"
"深圳市中航比特通讯技术股份有限公司"	"A22101.SH"	"比特技术"	"6851"
"北京腾信软创科技股份有限公司"	"A22102.BJ"	"腾信软创"	"6852"
"新乡市花溪科技股份有限公司"	"A22165.BJ"	"花溪科技"	"6853"
"上海重塑能源集团股份有限公司"	"A21017.SH"	"重塑股份(IPO终止)"	"6854"
"上海安路信息科技股份有限公司"	"688107.SH"	"安路科技-U"	"6855"
"上海国缆检测股份有限公司"	"301289.SZ"	"国缆检测"	"6856"
"四川中泰联合设计股份有限公司"	"A21116.SZ"	"中泰设计(IPO终止)"	"6857"
"广州聚合新材料科技股份有限公司"	"A21117.SZ"	"聚合科技(IPO终止)"	"6858"
"上海仁度生物科技股份有限公司"	"688193.SH"	"仁度生物"	"6859"
"深圳市景创科技电子股份有限公司"	"A21133.SZ"	"景创科技"	"6860"
"昆船智能技术股份有限公司"	"A21132.SZ"	"昆船智能"	"6861"
"苏州东微半导体股份有限公司"	"688261.SH"	"东微半导"	"6862"
